	Autor	Werk	year	vis_id
57	Fischer, Caroline Auguste	Der Günstling	1808	FischerCarolineAuguste_DerGünstling
56	Fischer, Caroline Auguste	Die Honigmonathe	1802	FischerCarolineAuguste_DieHonigmonathe
55	Fischer, Caroline Auguste	Gustavs Verirrungen	1801	FischerCarolineAuguste_GustavsVerirrungen
58	Fischer, Caroline Auguste	Margarethe	1812	FischerCarolineAuguste_Margarethe
60	Flaubert, Gustave	Die Schule der Empfindsamkeit	1869	FlaubertGustave_DieSchulederEmpfindsamkeit
59	Flaubert, Gustave	Madame Bovary	1857	FlaubertGustave_MadameBovary
61	Fock, Gorch	Seefahrt ist not!	1913	FockGorch_Seefahrtistnot!
65	Fontane, Theodor	Cécile	1887	FontaneTheodor_Cécile
73	Fontane, Theodor	Der Stechlin	1897	FontaneTheodor_DerStechlin
72	Fontane, Theodor	Die Poggenpuhls	1895	FontaneTheodor_DiePoggenpuhls
71	Fontane, Theodor	Effi Briest	1894	FontaneTheodor_EffiBriest
69	Fontane, Theodor	Frau Jenny Treibel	1892	FontaneTheodor_FrauJennyTreibel
64	Fontane, Theodor	Graf Petöfy	1884	FontaneTheodor_GrafPetöfy
66	Fontane, Theodor	Irrungen, Wirrungen	1887	FontaneTheodor_IrrungenWirrungen
63	Fontane, Theodor	L Adultera	1880	FontaneTheodor_LAdultera
67	Fontane, Theodor	Quitt	1890	FontaneTheodor_Quitt
68	Fontane, Theodor	Stine	1890	FontaneTheodor_Stine
70	Fontane, Theodor	Unwiederbringlich	1892	FontaneTheodor_Unwiederbringlich
62	Fontane, Theodor	Vor dem Sturm	1878	FontaneTheodor_VordemSturm
77	Fouqué, Caroline de la Motte	Der Spanier und der Freiwillige in Paris	1814	FouquéCarolinedelaMotte_DerSpanierundderFreiwilligeinParis
75	Fouqué, Caroline de la Motte	Die Frau des Falkensteins	1810	FouquéCarolinedelaMotte_DieFraudesFalkensteins
76	Fouqué, Caroline de la Motte	Magie der Natur	1812	FouquéCarolinedelaMotte_MagiederNatur
78	Fouqué, Caroline de la Motte	Resignation	1829	FouquéCarolinedelaMotte_Resignation
74	Fouqué, Caroline de la Motte	Rodrich	1807	FouquéCarolinedelaMotte_Rodrich
81	Franzos, Karl Emil	Der Pojaz	1905	FranzosKarlEmil_DerPojaz
79	François, Louise von	Die letzte Reckenburgerin	1871	FrançoisLouisevon_DieletzteReckenburgerin
80	François, Louise von	Stufenjahre eines Glücklichen	1877	FrançoisLouisevon_StufenjahreeinesGlücklichen
82	Frapan, Ilse	Arbeit	1903	FrapanIlse_Arbeit
85	Freytag, Gustav	Die Ahnen	1872	FreytagGustav_DieAhnen
84	Freytag, Gustav	Die verlorene Handschrift	1864	FreytagGustav_DieverloreneHandschrift
83	Freytag, Gustav	Soll und Haben	1855	FreytagGustav_SollundHaben
86	Frölich, Henriette	Virginia oder Die Kolonie von Kentucky	1819	FrölichHenriette_VirginiaoderDieKolonievonKentucky
88	Ganghofer, Ludwig	Der Ochsenkrieg	1914	GanghoferLudwig_DerOchsenkrieg
87	Ganghofer, Ludwig	Schloß Hubertus	1895	GanghoferLudwig_SchloßHubertus
89	Gautier, Théophile	Mademoiselle de Maupin	1835	GautierThéophile_MademoiselledeMaupin
91	Gerstäcker, Friedrich	Die Flußpiraten des Mississippi. Aus dem Waldleben Amerikas.	1848	GerstäckerFriedrich_DieFlußpiratendesMississippi.AusdemWaldlebenAmerikas.
90	Gerstäcker, Friedrich	Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas	1846	GerstäckerFriedrich_DieRegulatoreninArkansas.AusdemWaldlebenAmerikas
92	Goedsche, Herrmann	Sebastopol	1855	GoedscheHerrmann_Sebastopol
93	Goethe, Johann Wolfgang	Die Leiden des jungen Werther	1774	GoetheJohannWolfgang_DieLeidendesjungenWerther
95	Goethe, Johann Wolfgang	Die Wahlverwandtschaften	1809	GoetheJohannWolfgang_DieWahlverwandtschaften
94	Goethe, Johann Wolfgang	Wilhelm Meisters Lehrjahre	1795	GoetheJohannWolfgang_WilhelmMeistersLehrjahre
96	Goethe, Johann Wolfgang	Wilhelm Meisters Wanderjahre	1821	GoetheJohannWolfgang_WilhelmMeistersWanderjahre
97	Gogol, Nikolaj Vasilevic	Die toten Seelen oder Tschitschikows Abenteuer	1842	GogolNikolajVasilevic_DietotenSeelenoderTschitschikowsAbenteuer
99	Gotthelf, Jeremias	Uli der Pächter	1849	GotthelfJeremias_UliderPächter
98	Gotthelf, Jeremias	Wie Uli der Knecht glücklich wird	1841	GotthelfJeremias_WieUliderKnechtglücklichwird
102	Gutzkow, Karl	Der Zauberer von Rom	1858	GutzkowKarl_DerZauberervonRom
101	Gutzkow, Karl	Die Ritter vom Geiste	1850	GutzkowKarl_DieRittervomGeiste
100	Gutzkow, Karl	Wally, die Zweiflerin	1835	GutzkowKarl_WallydieZweiflerin
103	Hackländer, Friedrich Wilhelm von	Europäisches Sklavenleben	1854	HackländerFriedrichWilhelmvon_EuropäischesSklavenleben
104	Hahn-Hahn, Ida Gräfin von	Gräfin Faustine	1840	Hahn-HahnIdaGräfinvon_GräfinFaustine
106	Hahn-Hahn, Ida Gräfin von	Maria Regina	1860	Hahn-HahnIdaGräfinvon_MariaRegina
105	Hahn-Hahn, Ida Gräfin von	Sibylle	1846	Hahn-HahnIdaGräfinvon_Sibylle
108	Hauff, Wilhelm	Lichtenstein	1826	HauffWilhelm_Lichtenstein
107	Hauff, Wilhelm	Mitteilungen aus den Memoiren des Satan	1825	HauffWilhelm_MitteilungenausdenMemoirendesSatan
109	Hauptmann, Carl	Einhart der Lächler	1915	HauptmannCarl_EinhartderLächler
110	Heinse, Wilhelm	Ardinghello und die glückseligen Inseln	1787	HeinseWilhelm_ArdinghellounddieglückseligenInseln
111	Heinse, Wilhelm	Hildegard von Hohenthal	1795	HeinseWilhelm_HildegardvonHohenthal
112	Hesekiel, George	Faust und Don Juan	1846	HesekielGeorge_FaustundDonJuan
113	Heyking, Elisabeth von	Briefe, die ihn nicht erreichten	1903	HeykingElisabethvon_Briefedieihnnichterreichten
114	Heyking, Elisabeth von	Tschun	1914	HeykingElisabethvon_Tschun
115	Hippel, Theodor Gottlieb von	Lebensläufe nach aufsteigender Linie	1778	HippelTheodorGottliebvon_LebensläufenachaufsteigenderLinie
116	Hoffmann, E. T. A.	Die Elixiere des Teufels	1815	HoffmannE.T.A._DieElixieredesTeufels
117	Hoffmann, E. T. A.	Lebensansichten des Katers Murr	1819	HoffmannE.T.A._LebensansichtendesKatersMurr
119	Huber, Therese	Die Familie Seldorf	1795	HuberTherese_DieFamilieSeldorf
121	Huber, Therese	Ellen Percy	1822	HuberTherese_EllenPercy
120	Huber, Therese	Luise	1796	HuberTherese_Luise
122	Hugo, Victor	Der Glöckner von Notre Dame	1831	HugoVictor_DerGlöcknervonNotreDame
123	Huysmans, Joris-Karl	Gegen den Strich	1884	HuysmansJoris-Karl_GegendenStrich
